module,domain,name,license,has_qweb,has_data,application,hub_score,is_leaf,depends,category
mrp_maintenance,manufacturing,Maintenance - MRP,OEEL-1,False,True,,0,Yes,"mrp_workorder,maintenance",Manufacturing
mrp_mps,manufacturing,Master Production Schedule,OEEL-1,True,True,False,0,Yes,"mrp,purchase",Manufacturing
mrp_plm,manufacturing,Product Lifecycle Management (PLM),OEEL-1,True,True,True,0,Yes,mrp,Manufacturing
mrp_workorder,manufacturing,MRP II,OEEL-1,True,True,False,0,Yes,"quality,mrp,barcodes",Manufacturing
mrp_zebra,manufacturing,Zebra printers integration for MRP,EMPTY,False,True,,0,Yes,"stock_zebra,quality_mrp_iot",mrp
ocn_client,other,Odoo Cloud Notification Client (OCN),EMPTY,False,True,,0,Yes,"iap,mail",Tool
pos_blackbox_be,point_of_sale,Belgian Registered Cash Register,OEEL-1,True,True,,0,Yes,"pos_restaurant,l10n_be,web_enterprise",Point of Sale
pos_enterprise,point_of_sale,Point of Sale enterprise,EMPTY,False,True,,0,Yes,"web_enterprise,point_of_sale",Point of Sale
pos_iot,point_of_sale,,OEEL-1,False,True,,0,Yes,"point_of_sale,iot",Point of Sale
pos_loyalty,point_of_sale,Loyalty Program,OEEL-1,True,True,,0,Yes,point_of_sale,Point of Sale
pos_restaurant_iot,point_of_sale,,OEEL-1,False,True,,0,Yes,"pos_restaurant,iot",Point of Sale
project_enterprise,project,Project Enterprise,OEEL-1,False,True,,0,Yes,project,Project
project_forecast,project,Forecast,OEEL-1,False,True,True,0,Yes,"project,web_grid,hr",Project
project_timesheet_forecast,project,Timesheet and Forecast,EMPTY,False,True,,0,Yes,"hr_timesheet,project_forecast",Hidden
project_timesheet_forecast_sale,project,Compare timesheets and forecast for your projects,OEEL-1,False,True,,0,Yes,"project_forecast,sale_timesheet",Project
project_timesheet_synchro,project,Synchronization with the external timesheet application,OEEL-1,True,True,,0,Yes,hr_timesheet,Project
purchase_mrp_workorder_quality,other,Full Traceability Report Demo Data,OEEL-1,False,False,False,0,Yes,"purchase_mrp,quality_mrp_workorder,purchase_stock",Manufacturing
quality_control,quality,Quality,OEEL-1,False,True,True,0,Yes,quality,Manufacturing
quality_iot,quality,Quality Steps with IoT,EMPTY,False,True,,0,Yes,"iot,quality_control",Tools
quality_mrp,quality,MRP features for Quality Control,OEEL-1,False,True,,0,Yes,"quality_control,mrp",Manufacturing
quality_mrp_iot,quality,IoT features for Work Order Quality Control,OEEL-1,False,True,,0,Yes,"quality_mrp_workorder,iot",Manufacturing
quality_mrp_workorder,quality,MRP features for Quality Control,OEEL-1,False,True,,0,Yes,"quality_control,mrp_workorder,barcodes",Manufacturing
sale_account_taxcloud,sales,Account TaxCloud - Sale,OEEL-1,False,True,,0,Yes,"account_taxcloud,sale",Accounting
sale_coupon,sales,Sale Coupon,EMPTY,False,True,,0,Yes,sale_management,Sales
sale_coupon_delivery,sales,Sale Coupon Delivery,EMPTY,False,False,,0,Yes,"sale_coupon,delivery",Sales
sale_ebay,sales,eBay Connector,OEEL-1,True,True,False,0,Yes,"base,sale_management,stock,delivery,document",Sales
sale_enterprise,sales,Sale enterprise,EMPTY,False,True,False,0,Yes,"sale,web_dashboard",Sales
sale_intrastat,sales,Sale Intrastat,EMPTY,False,False,,0,Yes,"sale,account_intrastat",Accounting
sale_subscription,sales,Subscriptions,OEEL-1,False,True,True,0,Yes,"account_deferred_revenue,sale_management,portal,web_cohort,rating,base_automation",Sales
sale_subscription_asset,sales,Deferred Revenues Management for Subscriptions,OEEL-1,False,True,,0,Yes,"sale_subscription,account_deferred_revenue",Sales
sale_subscription_dashboard,sales,Sale Subscription Dashboard,OEEL-1,True,True,,0,Yes,"sale_subscription,sale_subscription_asset",Accounting
sign,other,Sign,OEEL-1,True,True,True,0,Yes,"mail,document,portal,sms",Document Management
snailmail_account_reports_followup,other,Snail Mail Follow-Up,OEEL-1,True,True,,0,Yes,"snailmail,account_reports_followup",Tools
stock_account_enterprise,inventory,Stock account enterprise,EMPTY,False,True,False,0,Yes,"stock_account,web_dashboard",Stock
stock_barcode,inventory,Barcode,OEEL-1,True,True,True,0,Yes,"barcodes,stock,web_tour",Warehouse
stock_barcode_mobile,inventory,Stock Barcode in Mobile,OEEL-1,True,True,,0,Yes,"stock_barcode,web_mobile",Mobile
stock_enterprise,inventory,Stock enterprise,EMPTY,False,True,False,0,Yes,"stock,web_dashboard,web_cohort",Stock
stock_intrastat,inventory,Stock Intrastat,EMPTY,False,True,,0,Yes,"stock_account,account_intrastat",Stock
test_marketing_automation,other,Marketing Automation Tests,EMPTY,False,False,False,0,Yes,"marketing_automation,test_mail",Hidden
timesheet_grid,timesheet,Timesheets,OEEL-1,False,True,True,0,Yes,"web_grid,hr_timesheet",
timesheet_grid_sale,timesheet,Sales Timesheet: Grid Support,OEEL-1,False,True,,0,Yes,"sale_timesheet,timesheet_grid",Hidden
voip_onsip,other,VOIP OnSIP,OEEL-1,False,True,False,0,Yes,voip,Hidden
web_cohort,ui_framework,Cohort View,OEEL-1,True,True,,0,Yes,web,
web_dashboard,ui_framework,web_dashboard,EMPTY,True,True,,0,Yes,web,Hidden
web_enterprise,ui_framework,Web Enterprise,OEEL-1,True,True,,0,Yes,web,Hidden
web_gantt,ui_framework,Web Gantt,OEEL-1,True,True,,0,Yes,web,Hidden
web_grid,ui_framework,Grid View,OEEL-1,True,True,,0,Yes,web,
web_mobile,ui_framework,Mobile,OEEL-1,True,True,,0,Yes,web_settings_dashboard,Mobile
web_studio,ui_framework,Studio,OEEL-1,True,True,True,0,Yes,"base_automation,base_import_module,mail,web,web_enterprise,web_editor",Technical Settings
website_calendar,website,Appointments,OEEL-1,False,True,True,0,Yes,"calendar_sms,website_enterprise,hr",Website
website_crm_score,website,Lead Scoring,OEEL-1,False,True,False,0,Yes,"base,sales_team,website_crm,crm_enterprise",Sales
website_delivery_ups,website,UPS: Bill My Account,EMPTY,False,True,,0,Yes,"delivery_ups,website_sale_delivery",Warehouse
website_enterprise,website,Website Enterprise,OEEL-1,False,True,,0,Yes,website,Technical Settings
website_form_editor,website,Form Builder,OEEL-1,False,True,,0,Yes,"website_enterprise,website_form",Website
website_helpdesk,website,Website Helpdesk,OEEL-1,False,True,,0,Yes,"helpdesk,website",Hidden
website_helpdesk_form,website,Online Ticket Submission,OEEL-1,False,True,,0,Yes,"website_form_editor,website_helpdesk",Website
website_helpdesk_forum,website,Helpdesk: Knowledge Base,OEEL-1,False,True,,0,Yes,"website_forum,website_helpdesk",Helpdesk
website_helpdesk_livechat,website,Website IM Livechat Helpdesk,OEEL-1,False,True,,0,Yes,"website_helpdesk,website_livechat",Helpdesk
website_helpdesk_slides,website,Website Slides Helpdesk,OEEL-1,False,True,,0,Yes,"website_helpdesk,website_slides",Helpdesk
website_sale_account_taxcloud,website,Account TaxCloud - Ecommerce,OEEL-1,False,False,,0,Yes,"account_taxcloud,website_sale",Accounting
website_sale_coupon,website,Coupons & Promotions for eCommerce,EMPTY,False,True,,0,Yes,"website_sale,sale_coupon",Website
website_sale_dashboard,website,Website Sales Dashboard,EMPTY,True,True,,0,Yes,"website_sale,web_dashboard",Technical Settings
website_sale_taxcloud_delivery,website,TaxCloud and Delivery - Ecommerce,OEEL-1,False,False,,0,Yes,"website_sale_delivery,website_sale_account_taxcloud",Accounting &amp; Finance
website_studio,website,Website Studio,OEEL-1,True,True,,0,Yes,"web_studio,website_form_editor",Technical Settings
website_twitter_wall,website,Twitter Wall,OEEL-1,False,True,,0,Yes,website_twitter,Website
