module,path,name,summary,version,category,depends,auto_install,application,license,has_qweb,has_data
timesheet_grid,addons/enterprise/timesheet_grid,Timesheets,Timesheet Validation and Grid View,1.0,,"web_grid,hr_timesheet",True,True,OEEL-1,False,True
timesheet_grid_sale,addons/enterprise/timesheet_grid_sale,Sales Timesheet: Grid Support,Configure timesheet invoicing,0.1,Hidden,"sale_timesheet,timesheet_grid",True,,OEEL-1,False,True
voip,addons/enterprise/voip,VOIP,"
        Make calls using a VOIP system",2.0,Sales,"base,mail,web,phone_validation",,True,OEEL-1,True,True
voip_onsip,addons/enterprise/voip_onsip,VOIP OnSIP,,1.0,Hidden,voip,,False,OEEL-1,False,True
web_cohort,addons/enterprise/web_cohort,Cohort View,Basic Cohort view for odoo,,,web,True,,OEEL-1,True,True
web_dashboard,addons/enterprise/web_dashboard,web_dashboard,,1.0,Hidden,web,True,,,True,True
web_enterprise,addons/enterprise/web_enterprise,Web Enterprise,,1.0,Hidden,web,True,,OEEL-1,True,True
web_gantt,addons/enterprise/web_gantt,Web Gantt,,2.0,Hidden,web,True,,OEEL-1,True,True
web_grid,addons/enterprise/web_grid,Grid View,Basic 2D Grid view for odoo,0.1,,web,True,,OEEL-1,True,True
web_mobile,addons/enterprise/web_mobile,Mobile,Odoo Mobile Core module,1.0,Mobile,web_settings_dashboard,True,,OEEL-1,True,True
web_studio,addons/enterprise/web_studio,Studio,Create and customize your Odoo apps,1.0,Technical Settings,"base_automation,base_import_module,mail,web,web_enterprise,web_editor",,True,OEEL-1,True,True
website_calendar,addons/enterprise/website_calendar,Appointments,Schedule appointments with clients,1.0,Website,"calendar_sms,website_enterprise,hr",False,True,OEEL-1,False,True
website_crm_score,addons/enterprise/website_crm_score,Lead Scoring,,1.0,Sales,"base,sales_team,website_crm,crm_enterprise",,False,OEEL-1,False,True
website_delivery_ups,addons/enterprise/website_delivery_ups,UPS: Bill My Account,Bill to your UPS account number,,Warehouse,"delivery_ups,website_sale_delivery",True,,,False,True
website_enterprise,addons/enterprise/website_enterprise,Website Enterprise,Get the enterprise look and feel,,Technical Settings,website,True,,OEEL-1,False,True
website_form_editor,addons/enterprise/website_form_editor,Form Builder,Build custom web forms,1.0,Website,"website_enterprise,website_form",False,,OEEL-1,False,True
website_helpdesk,addons/enterprise/website_helpdesk,Website Helpdesk,Bridge module for helpdesk modules using the website.,,Hidden,"helpdesk,website",,,OEEL-1,False,True
website_helpdesk_form,addons/enterprise/website_helpdesk_form,Online Ticket Submission,Qualify helpdesk queries with a website form,,Website,"website_form_editor,website_helpdesk",,,OEEL-1,False,True
website_helpdesk_forum,addons/enterprise/website_helpdesk_forum,Helpdesk: Knowledge Base,Knowledge base for helpdesk based on Odoo Forum,,Helpdesk,"website_forum,website_helpdesk",True,,OEEL-1,False,True
website_helpdesk_livechat,addons/enterprise/website_helpdesk_livechat,Website IM Livechat Helpdesk,"Ticketing, Support, Livechat",,Helpdesk,"website_helpdesk,website_livechat",True,,OEEL-1,False,True
website_helpdesk_slides,addons/enterprise/website_helpdesk_slides,Website Slides Helpdesk,"Ticketing, Support, Slides",,Helpdesk,"website_helpdesk,website_slides",True,,OEEL-1,False,True
website_sale_account_taxcloud,addons/enterprise/website_sale_account_taxcloud,Account TaxCloud - Ecommerce,,,Accounting,"account_taxcloud,website_sale",True,,OEEL-1,False,False
website_sale_coupon,addons/enterprise/website_sale_coupon,Coupons & Promotions for eCommerce,Use coupon & promotion programs in your eCommerce store,1.0,Website,"website_sale,sale_coupon",True,,,False,True
website_sale_dashboard,addons/enterprise/website_sale_dashboard,Website Sales Dashboard,Get a new dashboard view in the Website App,1.0,Technical Settings,"website_sale,web_dashboard",True,,,True,True
website_sale_taxcloud_delivery,addons/enterprise/website_sale_taxcloud_delivery,TaxCloud and Delivery - Ecommerce,Compute taxes with TaxCloud after online delivery computation.,,Accounting &amp; Finance,"website_sale_delivery,website_sale_account_taxcloud",True,,OEEL-1,False,False
website_studio,addons/enterprise/website_studio,Website Studio,Display Website Elements in Studio,1.0,Technical Settings,"web_studio,website_form_editor",True,,OEEL-1,True,True
website_twitter_wall,addons/enterprise/website_twitter_wall,Twitter Wall,Pretty Way to Display Tweets for Event,,Website,website_twitter,,,OEEL-1,False,True
